Date,Close,High,Low,Open,Volume
2010-01-04,1217.699951171875,1222.300048828125,1197.0999755859375,1217.699951171875,184
2010-01-05,1218.0999755859375,1226.5,1215.0,1218.0999755859375,53
2010-01-06,1235.9000244140625,1239.199951171875,1220.699951171875,1235.9000244140625,363
2010-01-07,1233.0999755859375,1233.0999755859375,1229.199951171875,1233.0999755859375,56
2010-01-08,1238.199951171875,1238.199951171875,1222.699951171875,1238.199951171875,54
2010-01-11,1250.699951171875,1261.199951171875,1243.0,1250.699951171875,177
2010-01-12,1228.9000244140625,1257.199951171875,1227.199951171875,1228.9000244140625,51
2010-01-13,1236.4000244140625,1236.4000244140625,1221.0,1236.4000244140625,58
2010-01-14,1242.5999755859375,1245.9000244140625,1232.800048828125,1237.0,81
2010-01-15,1230.0999755859375,1233.4000244140625,1227.199951171875,1232.800048828125,50
2010-01-19,1239.699951171875,1239.699951171875,1230.5,1239.699951171875,22
2010-01-20,1212.300048828125,1233.0,1209.800048828125,1223.300048828125,28
2010-01-21,1202.699951171875,1207.5,1190.199951171875,1202.699951171875,99
2010-01-22,1189.199951171875,1195.4000244140625,1183.0,1189.199951171875,58
2010-01-25,1195.199951171875,1195.199951171875,1195.199951171875,1195.199951171875,8
2010-01-26,1197.9000244140625,1197.9000244140625,1197.9000244140625,1197.9000244140625,4
2010-01-27,1184.4000244140625,1184.4000244140625,1184.4000244140625,1184.4000244140625,206694
2010-01-28,1183.5999755859375,1195.699951171875,1173.199951171875,1187.800048828125,101168
2010-01-29,1183.0,1190.800048828125,1174.5,1185.0,11456
2010-02-01,1204.300048828125,1207.300048828125,1176.800048828125,1181.0,2452
2010-02-02,1217.4000244140625,1218.5,1200.199951171875,1217.4000244140625,3326
2010-02-03,1211.4000244140625,1224.9000244140625,1208.5999755859375,1215.800048828125,853
2010-02-04,1162.4000244140625,1210.699951171875,1159.0,1210.0,1426
2010-02-05,1152.199951171875,1168.5,1145.199951171875,1152.199951171875,1956
2010-02-08,1165.699951171875,1173.4000244140625,1161.5999755859375,1165.699951171875,549
2010-02-09,1176.699951171875,1182.0,1163.0999755859375,1176.699951171875,387
2010-02-10,1175.800048828125,1181.0999755859375,1163.300048828125,1175.800048828125,640
2010-02-11,1194.199951171875,1197.0999755859375,1175.5999755859375,1176.800048828125,1491
2010-02-12,1189.5,1192.0,1179.800048828125,1189.5,197
2010-02-16,1219.300048828125,1220.4000244140625,1192.4000244140625,1219.300048828125,928
2010-02-17,1219.5,1227.0,1208.5,1219.5,1083
2010-02-18,1218.0,1223.699951171875,1200.800048828125,1218.0,989
2010-02-19,1221.300048828125,1226.199951171875,1199.699951171875,1221.300048828125,137
2010-02-22,1212.5999755859375,1227.4000244140625,1210.0,1212.5999755859375,124
2010-02-23,1202.699951171875,1218.300048828125,1202.5999755859375,1216.4000244140625,152
2010-02-24,1196.5,1196.5,1196.5,1196.5,751
2010-02-25,1207.800048828125,1208.199951171875,1188.699951171875,1207.800048828125,386
2010-02-26,1218.300048828125,1218.300048828125,1206.800048828125,1206.800048828125,382
2010-03-01,1217.800048828125,1221.9000244140625,1213.5999755859375,1219.300048828125,184
2010-03-02,1236.9000244140625,1237.4000244140625,1215.699951171875,1236.9000244140625,155
2010-03-03,1242.699951171875,1245.0,1233.699951171875,1242.699951171875,170
2010-03-04,1232.5999755859375,1239.0,1228.5999755859375,1232.5999755859375,118
2010-03-05,1234.800048828125,1234.800048828125,1234.800048828125,1234.800048828125,129
2010-03-08,1223.5999755859375,1223.5999755859375,1223.5999755859375,1223.5999755859375,17
2010-03-09,1222.0,1224.0,1213.0999755859375,1222.0,27
2010-03-10,1207.800048828125,1227.0999755859375,1206.9000244140625,1207.800048828125,21
2010-03-11,1208.0,1208.0,1208.0,1208.0,46
2010-03-12,1201.5,1217.4000244140625,1199.9000244140625,1201.5,135
2010-03-15,1205.0999755859375,1207.0999755859375,1201.4000244140625,1205.0999755859375,21
